Concept,elb_concept/prefLabel?,broader_pomoc,POMOC,literackie tak/nie/nie_wiem,exactMatch,narrowMatch,broadMatch,LOC_ID/exactMatch?close?,altLabel fin_a,Fi_Id/exactMatch?close?,altLabel cze_a,Cze_ID/exactMatch?close?,altLabel field_a_esp,esp_ID_exactMatch?close?,slownik_Hubar/exactMatch?close?,altLabel_pl
libri_thesauri_4488,manuscript,"['rare book', 'literary work']",FALSE,tak,['http://www.wikidata.org/entity/Q87167'],"['libri_thesauri_2901', 'libri_thesauri_2109', 'libri_thesauri_2228', 'libri_thesauri_806', 'libri_thesauri_1772', 'libri_thesauri_2157', 'libri_thesauri_463', 'libri_thesauri_2108', 'libri_thesauri_1542', 'libri_thesauri_1466', 'libri_thesauri_2279', 'libri_thesauri_13813', 'libri_thesauri_9075', 'libri_thesauri_5726', 'libri_thesauri_9869']","['libri_thesauri_13039', 'libri_thesauri_4714']",['sh85080672'],['käsikirjoitukset'],['http://www.yso.fi/onto/yso/p11009'],['rukopisy'],['ph116084'],[],[],[],
libri_thesauri_806,Church Slavonic manuscripts,['manuscript'],FALSE,nie wiem,['http://www.wikidata.org/entity/Q106957643'],,['libri_thesauri_4488'],['sh85080702'],[],[],['církevněslovanské rukopisy'],['ph114281'],[],[],[],
libri_thesauri_1466,Glagolitic manuscripts,['manuscript'],FALSE,nie wiem,['http://www.wikidata.org/entity/Q110316123'],,['libri_thesauri_4488'],['sh85080717'],[],[],['hlaholské rukopisy'],['ph120746'],[],[],[],
libri_thesauri_2450,palimpsest,,FALSE,tak,['http://www.wikidata.org/entity/Q274076'],,,['sh85080780'],[],[],['palimpsesty'],['ph281881'],[],[],[],
libri_thesauri_2126,martyrology,['liturgical book'],FALSE,nie wiem,['http://www.wikidata.org/entity/Q431193'],,['libri_thesauri_2062'],['sh85081667'],[],[],['martyrologia'],['ph115231'],[],[],[],
libri_thesauri_6485,medical law,"['law', 'literature']",FALSE,tak,['http://www.wikidata.org/entity/Q2632182'],,"['libri_thesauri_6496', 'libri_thesauri_13826']",['sh85082964'],"['terveysoikeus', 'lääkintäoikeus']","['http://www.yso.fi/onto/yso/p1530', 'http://www.yso.fi/onto/yso/p1533']",[],[],[],[],[],
libri_thesauri_2190,Mexican literature,,FALSE,tak,['http://www.wikidata.org/entity/Q1050166'],,,['sh85084519'],[],[],['mexická literatura'],['ph122792'],[],[],[],
libri_thesauri_5084,missal,"['liturgical book', 'handbook']",FALSE,nie wiem,['http://www.wikidata.org/entity/Q833590'],['libri_thesauri_2923'],"['libri_thesauri_2062', 'libri_thesauri_14483']",['sh85086006'],['messukirjat'],['http://www.yso.fi/onto/yso/p12267'],['misály'],['ph115326'],[],[],[],
libri_thesauri_12232,modernism,['style'],FALSE,tak,['http://www.wikidata.org/entity/Q878985'],['libri_thesauri_2237'],['libri_thesauri_11810'],['sh85086444'],['modernismi'],['http://www.yso.fi/onto/yso/p5001'],['modernismus'],['ph122934'],[],[],[],
libri_thesauri_2238,modernist literature,['literary movement'],FALSE,tak,['http://www.wikidata.org/entity/Q971480'],,['libri_thesauri_2042'],['sh85086446'],[],[],['modernismus (literatura)'],['ph122935'],[],[],[],
